rank,openalex_id,doi,title,year,venue,authors,cited_by_count,url,source_query,relevance_score,novelty_pressure,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract,concepts,keywords
259,https://openalex.org/W4220889732,https://doi.org/10.1162/jocn_a_01820,Alpha Oscillations Are Involved in Localizing Touch on Handheld Tools,2022,Journal of Cognitive Neuroscience,Cecile Fabio; Romeo Salemme; Eric Koun; Alessandro Farne; Luke E. Miller,8,https://direct.mit.edu/jocn/article-pdf/34/4/675/1996643/jocn_a_01820.pdf,robot tactile perception object shape reconstruction,47.863,58.863,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"The sense of touch is not restricted to the body but can also extend to external objects. When we use a handheld tool to contact an object, we feel the touch on the tool and not in the hand holding the tool. The ability to perceive touch on a tool actually extends along its entire surface, allowing the user to accurately localize where it is touched similarly as they would on their body. Although the neural mechanisms underlying the ability to localize touch on the body have been largely investigated, those allowing to localize touch on a tool are still unknown. We aimed to fill this gap by recording the electroencephalography signal of participants while they localized tactile stimuli on a handheld rod. We focused on oscillatory activity in the alpha (7-14 Hz) and beta (15-30 Hz) ranges, as they have been previously linked to distinct spatial codes used to localize touch on the body. Beta activity reflects the mapping of touch in skin-based coordinates, whereas alpha activity reflects the mapping of touch in external space. We found that alpha activity was solely modulated by the location of tactile stimuli applied on a handheld rod. Source reconstruction suggested that this alpha power modulation was localized in a network of fronto-parietal regions previously implicated in higher-order tactile and spatial processing. These findings are the first to implicate alpha oscillations in tool-extended sensing and suggest an important role for processing touch in external space when localizing touch on a tool.",Mobile device; Alpha (finance); Electroencephalography; Communication; Computer vision; Object (grammar); Neuroscience; Psychology; Artificial intelligence; Computer science; Humancomputer interaction; Operating system,Mobile device; Alpha (finance); Electroencephalography; Communication; Computer vision; Object (grammar); Neuroscience; Psychology; Artificial intelligence; Computer science; Humancomputer interaction
260,https://openalex.org/W4405914892,https://doi.org/10.1002/idm2.12233,Recent Progress in Tactile Sensing and Machine Learning for Texture Perception in Humanoid Robotics,2024,Interdisciplinary materials,Longteng Yu; Dabiao Liu,18,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12233,robot tactile perception object shape reconstruction,47.836,57.836,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"ABSTRACT Humanoid robots have garnered substantial attention recently in both academia and industry. These robots are becoming increasingly sophisticated and intelligent, as seen in health care, education, customer service, logistics, security, space exploration, and so forth. Central to these technological advancements is tactile perception, a crucial modality through which humanoid robots exchange information with their external environment, thereby facilitating humanlike behaviors such as object recognition and dexterous manipulation. Texture perception is particularly vital for these tasks, as the surface morphology of objects significantly influences recognition and manipulation abilities. This review addresses the recent progress in tactile sensing and machine learning for texture perception in humanoid robots. We first examine the design and working principles of tactile sensors employed in texture perception, differentiating between touchbased and slidingbased approaches. Subsequently, we delve into the machine learning algorithms implemented for texture perception using these tactile sensors. Finally, we discuss the challenges and future opportunities in this evolving field. This review aims to provide insights into the stateoftheart developments and foster advancements in tactile sensing and machine learning for texture perception in humanoid robotics.",Humanoid robot; Tactile perception; Artificial intelligence; Perception; Humancomputer interaction; Robotics; Computer science; Robot; Computer vision; Psychology; Neuroscience,Humanoid robot; Tactile perception; Artificial intelligence; Perception; Humancomputer interaction; Robotics; Computer science; Robot; Computer vision; Psychology
261,https://openalex.org/W4401246814,https://doi.org/10.1109/access.2024.3437666,Soft Barometric Tactile Sensor Utilizing Iterative Pressure Reconstruction,2024,IEEE Access,Thomas De Clercq; Anatolii Sianov; Frederik Ostyn; Guillaume Crevecoeur,3,https://doi.org/10.1109/access.2024.3437666,robot tactile perception object shape reconstruction,47.806,62.806,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Tactile sensors play a pivotal role in enhancing robotic gripping systems across various industries, allowing robots to interact with their environment with precision and adaptability. This study introduces a novel soft barometric tactile sensor designed to capture pressure data beneath the contact pad within an elastomer layer. By employing an iterative fitting process for a parameterized pressure distribution, the sensor eliminates the need for extensive calibration or complex training procedures. A novel metric was introduced to evaluate the accuracy of pressure reconstruction in tactile sensors. This was complemented by quantitative investigations. Moreover, the precision of multiple contact detection and the capabilities of force estimation were examined. Finally, the practical applications of the sensor were demonstrated through in-hand measurement of object orientation. The sensor exhibits promising results, accurately reconstructing pressure distributions for a wide range of indenters, reliably discerning two contacts when their distance exceeds 5 mm and estimating forces with a Mean Absolute Error (MAE) of 1.83 N . Additionally, the inhand reorientation achieved a Mean Absolute Rotation Error (MARE) of 6.81, demonstrating the sensors potential for real-world applications.",Pressure sensor; Computer science; Acoustics; Tactile sensor; Atmospheric pressure; Computer vision; Soft sensor; Iterative method; Pressure measurement; Artificial intelligence; Physics; Algorithm,Pressure sensor; Computer science; Acoustics; Tactile sensor; Atmospheric pressure; Computer vision; Soft sensor; Iterative method; Pressure measurement; Artificial intelligence; Physics; Algorithm
262,https://openalex.org/W3091843623,https://doi.org/10.1186/s12984-020-00755-6,Sensing form - finger gaiting as key totactile object exploration - a data glove analysis of a prototypical dailytask,2020,Journal of NeuroEngineering and Rehabilitation,Werner Krammer; J. Missimer; Simon Habegger; Manuela PastoreWapp; Roland Wiest; B. Weder,15,https://jneuroengrehab.biomedcentral.com/track/pdf/10.1186/s12984-020-00755-6,robot tactile perception object shape reconstruction,47.612,57.612,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"BACKGROUND: Motor hand skill and associated dexterity is important for meeting the challenges of daily activity and an important resource post-stroke. In this context, the present study investigated the finger movements of right-handed subjects during tactile manipulation of a cuboid, a prototypical task underlying tactile exploration. During one motor act, the thumb and fingers of one hand surround the cuboid in a continuous and regular manner. While the object is moved by the guiding thumb, the opposed supporting fingers are replaced once they reach their joint limits by free fingers, a mechanism termed finger gaiting. METHODS: For both hands of 22 subjects, we acquired the time series of consecutive manipulations of a cuboid at a frequency of 1 Hz, using a digital data glove consisting of 29 sensors. Using principle component analysis, we decomposed the short action into motor patterns related to successive manipulations of the cuboid. The components purport to represent changing grasp configurations involving the stabilizing fingers and guiding thumb. The temporal features of the components permits testing whether the distinct configurations occur at the frequency of 1 Hz, i.e. within the time window of 1 s, and, thus, taxonomic classification of the manipulation as finger gaiting. RESULTS: The fraction of variance described by the principal components indicated that three components described the salient features of the single motor acts for each hand. Striking in the finger patterns was the prominent and varying roles of the MCP and PIP joints of the fingers, and the ",Thumb; Cuboid; Wired glove; Computer science; GRASP; Metacarpophalangeal joint; Artificial intelligence; Task (project management); Context (archaeology); Communication; Computer vision; Psychology,Thumb; Cuboid; Wired glove; Computer science; GRASP; Metacarpophalangeal joint; Artificial intelligence; Task (project management); Context (archaeology); Communication; Computer vision; Psychology
263,https://openalex.org/W2990665941,https://doi.org/10.20868/upm.thesis.57127,A novel robotic framework for safe inspection and telemanipulation in hazardous and unstructured environments,2019,UPM Digital Archive (Technical University of Madrid),Mario Di Castro,6,http://oa.upm.es/57127/1/MARIO_DI_CASTRO.pdf,robot tactile perception object shape reconstruction,47.535,57.535,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Los sistemas roboticos inteligentes se estan convirtiendo en algo esencial para las aplicaciones espaciales, industriales, las centrales nucleares y los entornos hostiles en general, tales como las complejas instalaciones del acelerador de particulas de la Organizacion Europea para la Investigacion Nuclear (CERN) y sus experimentos. La tecnologia robotica tiene un enorme potencial para el beneficio de las personas y su ambito de aplicacion final depende de la forma en que esta es utilizada. Con el fin de incrementar la seguridad y disponibilidad de las maquinas, los robots pueden llevar a cabo tareas repetitivas, inesperadas y peligrosas, las cuales prefieren ser evitadas por los humanos o bien, son incapaces de realizarlas debido a tales peligros, limitaciones de espacio, o los entornos extremos donde tienen lugar. En la actualidad, los sistemas de mecatronica utilizan tecnologias consolidadas que les permite un uso robusto y seguro, incluso en colaboracion con trabajadores humanos. En los ultimos anos, el avance de los robots se ha basado en el desarrollo de sensores inteligentes, inteligencia artificial y sistemas mecanicos modulares. Debido a la multitud de desafios que los entornos peligrosos y desestructurados generan a la hora de aplicar sistemas industriales autonomos, todavia existe una amplia demanda de sistemas inteligentes y tele-operados que entregan el control de un robot (esclavo) a un operador humano a traves de dispositivos de entrada hapticos (maestro). Tecnicas modernas como los sistemas de simulacion y la realidad virtual pueden facilitar la preparacion ",Hazardous waste; Engineering; Citation; Computer science; World Wide Web; Waste management,Hazardous waste; Engineering; Citation; Computer science; World Wide Web; Waste management
264,https://openalex.org/W4401362379,https://doi.org/10.1080/10589759.2024.2386618,Mitigating RGB-D camera errors for robust ultrasonic inspections using a force-torque sensor,2024,Nondestructive Testing And Evaluation,Morteza Tabatabaeipour; William E. Jackson; Adam Gilmour; Dayi Zhang; Alastair Poole; Konstantinos Tzaferis; Gordon Dobie; Anthony Gachagan,6,https://www.tandfonline.com/doi/pdf/10.1080/10589759.2024.2386618?needAccess=true,robot tactile perception object shape reconstruction,47.535,53.535,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Robot-based phased array ultrasonic testing is widely used for precise defect detection, particularly in complex geometries and various materials. Compact robots with miniature arms can inspect constrained areas, but payload limitations restrict sensor choice. RGB-D cameras, due to their small size and light weight, capture RGB colour and depth data, creating colourised 3D point clouds for scene representation. These point clouds help estimate surface normals to align the ultrasound transducer on complex surfaces. However, sole reliance on RGB-D cameras can lead to inaccuracies, affecting ultrasonic beam direction and test results. This paper investigates the impact of transducer pose and RGB-D camera limitations on ultrasonic inspections and proposes a novel method using force-torque sensors to mitigate errors from inaccurately estimated normals from the camera. The force-torque sensor, integrated into the robot end effector, provides tactile feedback to the controller, enabling joint angle adjustments to correct errors in the estimated normal. Experimental results show the successful application of ultrasound transducers using this method, even with significant misalignment. Adjustments took approximately 4 seconds to correct deviations from 12.55, with an additional 4 seconds to ensure the probe was parallel to the surface, enhancing ultrasonic inspection accuracy in complex, constrained environments.",Ultrasonic sensor; RGB color model; Point cloud; Computer vision; Transducer; Artificial intelligence; Computer science; Robot; Torque; Payload (computing); Robotics; Robotic arm,Ultrasonic sensor; RGB color model; Point cloud; Computer vision; Transducer; Artificial intelligence; Computer science; Robot; Torque; Payload (computing); Robotics; Robotic arm
265,https://openalex.org/W4386533790,https://doi.org/10.1126/sciadv.adi2445,An optical-based multipoint 3-axis pressure sensor with a flexible thin-film form,2023,Science Advances,Haoyang Wang; Wenqing Wang; Jae Joon Kim; Chunya Wang; Yan Wang; Binghao Wang; Sunghoon Lee; Tomoyuki Yokota,66,https://doi.org/10.1126/sciadv.adi2445,robot tactile perception object shape reconstruction,47.478,58.478,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; planning/physics,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Multipoint 3-axis tactile pressure sensing by a high-resolution and sensitive optical system provides rich information on surface pressure distribution and plays an important role in a variety of human interaction-related and robotics applications. However, the optical system usually has a bulky profile, which brings difficulties to sensor mounting and system integration. Here, we show a construction of thin-film and flexible multipoint 3-axis pressure sensor by optical methods. The sensor can detect the distribution of 3-axis pressure on an area of 3 centimeter by 4 centimeter, with a high-accuracy normal and tangential pressure sensing up to 360 and 100 kilopascal, respectively. A porous rubber is used as a 3-axis pressure-sensitive optical modulator to omit the thick and rigid focusing system without sacrificing the sensitivity. In addition, by integrating thin and flexible backlight and imager, the sensor has a total thickness of 1.5 milimeter, making it function properly even when bent to a radius of 18 milimeter.",Pressure sensor; Materials science; Optics; Thin film; Bent molecular geometry; Radius of curvature; Optoelectronics; Computer science; Acoustics; Curvature; Nanotechnology; Physics,Pressure sensor; Materials science; Optics; Thin film; Bent molecular geometry; Radius of curvature; Optoelectronics; Computer science; Acoustics; Curvature; Nanotechnology; Physics
266,https://openalex.org/W4288278663,https://doi.org/10.48550/arxiv.1907.13098,Making Sense of Vision and Touch: Learning Multimodal Representations\n for Contact-Rich Tasks,2019,arXiv (Cornell University),"Michelle A. Lee; Yuke Zhu; Peter Zachares; Matthew Tan; Srinivasan, Krishnan; Silvio Savarese; Li Fei-Fei; Animesh Garg",2,https://arxiv.org/pdf/1907.13098,robot tactile occlusion hidden geometry manipulation,47.431,57.431,build or exploit tactile sensing for robot perception,sensor/dataset; visuotactile fusion; learning/control,"tactile observations are treated as labeled examples rather than interventions that change what can be inferred | vision and touch provide complementary features over one shared latent object, not competing censoring processes","camera visibility, time synchronization, shared latent representation, training distribution",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can fuse features while leaving the vision-censored ambiguity structurally intact,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Contact-rich manipulation tasks in unstructured environments often require\nboth haptic and visual feedback. It is non-trivial to manually design a robot\ncontroller that combines these modalities which have very different\ncharacteristics. While deep reinforcement learning has shown success in\nlearning control policies for high-dimensional inputs, these algorithms are\ngenerally intractable to deploy on real robots due to sample complexity. In\nthis work, we use self-supervision to learn a compact and multimodal\nrepresentation of our sensory inputs, which can then be used to improve the\nsample efficiency of our policy learning. Evaluating our method on a peg\ninsertion task, we show that it generalizes over varying geometries,\nconfigurations, and clearances, while being robust to external perturbations.\nWe also systematically study different self-supervised learning objectives and\nrepresentation learning architectures. Results are presented in simulation and\non a physical robot.\n",Reinforcement learning; Computer science; Haptic technology; Representation (politics); Artificial intelligence; Modalities; Task (project management); Robot; Humancomputer interaction; Controller (irrigation); Machine learning; Sample (material),Reinforcement learning; Computer science; Haptic technology; Representation (politics); Artificial intelligence; Modalities; Task (project management); Robot; Humancomputer interaction; Controller (irrigation); Machine learning; Sample (material)
267,https://openalex.org/W4401321269,https://doi.org/10.3390/s24155080,Detecting Transitions from Stability to Instability in Robotic Grasping Based on Tactile Perception,2024,Sensors,Zhou Zhao; Dongyuan Zheng; Lu Chen,2,https://www.mdpi.com/1424-8220/24/15/5080/pdf?version=1722913045,robot tactile perception object shape reconstruction,47.431,57.431,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; active exploration,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,choosing touches to reduce uncertainty,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Robots execute diverse load operations, including carrying, lifting, tilting, and moving objects, involving load changes or transfers. This dynamic process can result in the shift of interactive operations from stability to instability. In this paper, we respond to these dynamic changes by utilizing tactile images captured from tactile sensors during interactions, conducting a study on the dynamic stability and instability in operations, and propose a real-time dynamic state sensing network by integrating convolutional neural networks (CNNs) for spatial feature extraction and long short-term memory (LSTM) networks to capture temporal information. We collect a dataset capturing the entire transition from stable to unstable states during interaction. Employing a sliding window, we sample consecutive frames from the collected dataset and feed them into the network for the state change predictions of robots. The network achieves both real-time temporal sequence prediction at 31.84 ms per inference step and an average classification accuracy of 98.90%. Our experiments demonstrate the network's robustness, maintaining high accuracy even with previously unseen objects.",Computer science; Robustness (evolution); Artificial intelligence; Inference; Convolutional neural network; Instability; Robot; Stability (learning theory); Feature extraction; Pattern recognition (psychology); Recurrent neural network; Sliding window protocol,Computer science; Robustness (evolution); Artificial intelligence; Inference; Convolutional neural network; Instability; Robot; Stability (learning theory); Feature extraction; Pattern recognition (psychology); Recurrent neural network; Sliding window protocol
268,https://openalex.org/W3037397414,https://doi.org/10.1038/s41598-020-68432-1,A versatile 4D capacitive imaging array: a touchless skin and an obstacle-avoidance sensor for robotic applications,2020,Scientific Reports,Gege Ma; Manuchehr Soleimani,29,https://www.nature.com/articles/s41598-020-68432-1.pdf,robot tactile perception object shape reconstruction,47.431,53.431,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"There are growing interests in the use of robots in collaborative environments with humans or other intelligent machines. Sensing the environment for which the robot is operating can be done in many ways, generally guided by skin-like sensors. Some of the skins are inspired by natural sensing in humans or other species. As humans, we use many of our senses, such as version, hearing, smell, and touch, to move around by avoiding colliding with other humans or objects. Different from humans, many other mammals also use whiskers as an additional sensor to help navigate around. In this paper, we demonstrate a touchless capacitive imaging-based sensor in the situation where the obstacles are in close vicinity to the robot. The proposed imaging system can sense the changes in areas near to the skin-like sensors by measuring the capacitances between the array of electrodes. A 4D sensing approach has been developed with the spatiotemporal Total Variation algorithm. The 4D operational mode gives sensors the time awareness that allows for dynamical responses and hence the better control of the robots. Several experiments are conducted to show the skin-like behaviour of this sensor by simulating various scenarios. The sensor shows the excellent ability to detect an object in its vicinity, where the depth is close to half of the planar sensor array size.",Capacitive sensing; Computer science; Robot; Artificial intelligence; Computer vision; Proximity sensor; Sensor array; Obstacle avoidance; Real-time computing; Humancomputer interaction; Mobile robot; Operating system,Capacitive sensing; Computer science; Robot; Artificial intelligence; Computer vision; Proximity sensor; Sensor array; Obstacle avoidance; Real-time computing; Humancomputer interaction; Mobile robot
269,https://openalex.org/W4400317952,https://doi.org/10.3389/frobt.2024.1410858,Head tracking using an optical soft tactile sensing surface,2024,Frontiers in Robotics and AI,Bhoomika Gandhi; Lyudmila Mihaylova; Sanja Dogramadzi,2,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1410858/pdf,robot tactile perception object shape reconstruction,47.431,53.431,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"This research proposes a sensor for tracking the motion of a human head via optical tactile sensing. It implements the use of a fibrescope a non-metal alternative to a webcam. Previous works have included robotics grippers to mimic the sensory features of human skin, that used monochrome cameras and depth cameras. Tactile sensing has shown advantages in feedback-based interactions between robots and their environment. The methodology in this paper is utilised to track motion of objects in physical contact with these sensors to replace external camera based motion capture systems. Our immediate application is related to detection of human head motion during radiotherapy procedures. The motion was analysed in two degrees of freedom, respective to the tactile sensor (translational in z-axis, and rotational around y-axis), to produce repeatable and accurate results. The movements were stimulated by a robot arm, which also provided ground truth values from its end-effector. The fibrescope was implemented to ensure the device's compatibility with electromagnetic waves. The cameras and the ground truth values were time synchronised using robotics operating systems tools. Image processing methods were compared between grayscale and binary image sequences, followed by motion tracking estimation using deterministic approaches. These included Lukas-Kanade Optical Flow and Simple Blob Detection, by OpenCV. The results showed that the grayscale image processing along with the Lukas-Kanade algorithm for motion tracking can produce better tracking abilities, although further exploration t",Artificial intelligence; Computer vision; Computer science; Grayscale; Optical flow; Robotics; Ground truth; Tactile sensor; Match moving; Tracking (education); Robot; Motion (physics),Artificial intelligence; Computer vision; Computer science; Grayscale; Optical flow; Robotics; Ground truth; Tactile sensor; Match moving; Tracking (education); Robot; Motion (physics)
270,https://openalex.org/W3102616334,https://doi.org/10.1109/wacv48630.2021.00126,Seeing Through your Skin: Recognizing Objects with a Novel Visuotactile Sensor,2021,arXiv (Cornell University),Francois R. Hogan; Michael Jenkin; Sahand Rezaei-Shoshtari; Yogesh Girdhar; David Meger; Gregory Dudek,2,https://arxiv.org/pdf/2011.09552,robot tactile perception object shape reconstruction,47.431,53.431,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"We introduce a new class of vision-based sensor and associated algorithmic processes that combine visual imaging with high-resolution tactile sending, all in a uniform hardware and computational architecture. We demonstrate the sensor's efficacy for both multi-modal object recognition and metrology. Object recognition is typically formulated as an unimodal task, but by combining two sensor modalities we show that we can achieve several significant performance improvements. This sensor, named the See-Through-your-Skin sensor (STS), is designed to provide rich multi-modal sensing of contact surfaces. Inspired by recent developments in optical tactile sensing technology, we address a key missing feature of these sensors: the ability to capture a visual perspective of the region beyond the contact surface. Whereas optical tactile sensors are typically opaque, we present a sensor with a semitransparent skin that has the dual capabilities of acting as a tactile sensor and/or as a visual camera depending on its internal lighting conditions. This paper details the design of the sensor, showcases its dual sensing capabilities, and presents a deep learning architecture that fuses vision and touch. We validate the ability of the sensor to classify household objects, recognize fine textures, and infer their physical properties both through numerical simulations and experiments with a smart countertop prototype.",Artificial intelligence; Computer vision; Computer science; Tactile sensor; Image sensor; Feature (linguistics); Object (grammar); Philosophy; Linguistics; Robot,Artificial intelligence; Computer vision; Computer science; Tactile sensor; Image sensor; Feature (linguistics); Object (grammar)
271,https://openalex.org/W2111010907,https://doi.org/10.1109/iros.2001.976250,Reconstructing shape from motion using tactile sensors,2001,Figshare,Mark Moll; Michael Erdmann,27,https://figshare.com/articles/Reconstructing_Shape_from_Motion_Using_Tactile_Sensors/6560624,robot tactile perception object shape reconstruction,47.341,58.341,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"We present a new method to reconstruct the shape of an unknown object using tactile sensors without requiring object immobilization. Instead, the robot manipulates the object without prehension. The robot infers the shape, motion and the center of mass of the object based on the motion of the contact points as measured by tactile sensors. Our analysis is supported by simulation and experimental results.",Tactile sensor; Computer vision; Artificial intelligence; Object (grammar); Motion (physics); Computer science; Robot; Center of mass (relativistic); Physics; Energymomentum relation; Classical mechanics,Tactile sensor; Computer vision; Artificial intelligence; Object (grammar); Motion (physics); Computer science; Robot; Center of mass (relativistic); Physics
272,https://openalex.org/W4399083762,https://doi.org/10.3390/s24113475,A Flexible Double-Sided Curvature Sensor Array for Use in Soft Robotics,2024,Sensors,Racha Benarrait; Muneeb Ullah Khan; J. Terrien; Hani Al Hajjar; Frederic Lamarque; Andreas Dietzel,11,https://www.mdpi.com/1424-8220/24/11/3475/pdf?version=1716889386,robot tactile perception object shape reconstruction,47.238,58.238,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; learning/control,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"This paper describes the design, fabrication, integration, characterization, and demonstration of a novel flexible double-sided curvature sensor array for use in soft robotics. The paper explores the performance and potential applications of a piezoresistive sensor array consisting of four gold strain gauges on a flexible polyimide (PI) substrate arranged in a Wheatstone bridge configuration. Multiple sensor strips were arranged like the fingers of a hand. Integrating Shape Memory Alloy (SMA) foils alongside the fingers was explored to mimic a human hand-gripping motion controlled with temperature, while curvature sensor array strips measure the resulting finger shapes. Moreover, object sensing in a flexible granular material gripper was demonstrated. The sensors were embedded within Polydimethylsiloxane (PDMS) to enhance their tactile feel and adhesive properties. The findings of this study are promising for future applications, particularly in robotics and prosthetics, as the ability to accurately mimic human hand movements and reconstruct sensor surfaces paves the way for robotic hand functionality.",Soft robotics; Robotics; Piezoresistive effect; Curvature; Artificial intelligence; Tactile sensor; STRIPS; Wheatstone bridge; Polydimethylsiloxane; Sensor array; Computer science; Robot,Soft robotics; Robotics; Piezoresistive effect; Curvature; Artificial intelligence; Tactile sensor; STRIPS; Wheatstone bridge; Polydimethylsiloxane; Sensor array; Computer science; Robot
